coder_id	stance3	origin	coder_quality	filename	date	source	author	author_normalized	keywords	title	word_count	relevant	year
600c167e28de48080e812884	0.5	prolific A	TRUE	txt/418950637.xml.txt	1999-09-18	Chicago Tribune	NA	NA	Editorials,Racism,Contract negotiations,Firefighters	ANOTHER JOKE FROM THE FIREFIGHTERS	330	TRUE	1999
600c167e28de48080e812884	NA	prolific A	TRUE	txt/2244665351.xml.txt	2019-06-21	Chicago Tribune	Darcel Rockett	Rockett, Darcel	African Americans,Racial discrimination,Civil rights,Slavery,Reparations	Commentary: Reparations are necessary, if we want to move past being a nation of ‘Sorry, not sorry’	762	TRUE	2019
600c167e28de48080e812884	0	prolific A	TRUE	txt/2648708177.xml.txt	2022-04-10	Wall Street Journal	David Bernstein	Bernstein, David	Public schools,American history,Teaching,Students,African Americans,Ideology,Racism,Sons,Curricula,Oppression,Race,Education	Teach '1619' and '1776' U.S. History; The answer to ideological education isn't to ban the ideology but to make room for alternative views.	1076	TRUE	2022
600c167e28de48080e812884	0.5	prolific A	TRUE	txt/421333085.xml.txt	1997-09-28	Los Angeles Times	Jose Novoa	Novoa, Jose	NA	THE NATION; RACE; At Times, the Problem Is Economics, Not Racism	1183	NA	1997
600c167e28de48080e812884	0.5	prolific A	TRUE	txt/2444131672.xml.txt	2020-09-19	The Washington Post	Nancy Gertner	Gertner, Nancy	Equality,Women,Voting rights,Civil rights,Gender,Equal rights,Roles	Ruth Bader Ginsburg was all I wanted to be	844	TRUE	2020
600c167e28de48080e812884	0.5	prolific A	TRUE	txt/421303437.xml.txt	1998-09-06	Los Angeles Times	HERSCHEL ROSENTHAL	Rosenthal, Herschel	NA	Valley Perspective; PERSPECTIVE ON POLITICS; 24 Years of Change, Not All for the Better; Time has brought diversity and a more involved public. But personal relationships and an atmosphere of civility have clearly eroded.	605	NA	1998
600c167e28de48080e812884	0.5	prolific A	TRUE	txt/2193427873.xml.txt	2019-03-18	The Washington Post	Jennifer Rubin	Rubin, Jennifer	Rhetoric,Immigration,Presidential elections,Noncitizens	Morning Bits: Trump’s megaphone amplifies white nationalism	355	FALSE	2019
600c167e28de48080e812884	0.5	prolific A	TRUE	txt/428907164.xml.txt	1993-02-27	New York Times	Bond	BOND	BLACKS (IN US),CIVIL RIGHTS,NEWS AND NEWS MEDIA,PUBLIC OPINION	Putting the Spin on the N.A.A.C.P.	567	TRUE	1993
600c167e28de48080e812884	0	prolific A	TRUE	txt/1823531226.xml.txt	2016-01-01	The Washington Post	NA	NA	Medical marijuana	Marylanders who need medical marijuana don't care where it is grown (Posted 2016-09-16 22:31:48)	119	FALSE	2016
600c167e28de48080e812884	-1	prolific A	TRUE	txt/1034256694.xml.txt	2012-08-19	The Washington Post	NA	NA	Supreme Court decisions,Ethnicity,College admissions	Base college admissions on merit. Period.	214	TRUE	2012
60fe04ef652fd1fafaa4ae50	NA	prolific A	TRUE	txt/418768610.xml.txt	1999-01-18	Chicago Tribune	Salim Muwakkil.	Muwakkil, Salim	Racial discrimination,Farmers,Reparations,Settlements & damages,Federal court decisions,Class action lawsuits,Agricultural lending,Agricultural subsidies	USDA SETTLEMENT ADVANCES ARGUMENT FOR REPARATIONS	737	TRUE	1999
60fe04ef652fd1fafaa4ae50	0	prolific A	TRUE	txt/408654746.xml.txt	2000-08-17	The Washington Post	NA	NA	Presidential elections,Political conventions,Political campaigns,Editorials -- Lieberman, Joseph I	Mr. Lieberman's Debut	668	FALSE	2000
60fe04ef652fd1fafaa4ae50	-1	prolific A	TRUE	txt/421647247.xml.txt	2001-11-21	Los Angeles Times	EDWIN A. LOCKE	Locke, Edwin A	College admissions,Reforms,Academic grading,Entrance examinations,Admissions policies,Race	Commentary; UC Regents Inject Race Into Admissions, Yet Again	630	TRUE	2001
60fe04ef652fd1fafaa4ae50	0.5	prolific A	TRUE	txt/421333085.xml.txt	1997-09-28	Los Angeles Times	Jose Novoa	Novoa, Jose	NA	THE NATION; RACE; At Times, the Problem Is Economics, Not Racism	1183	NA	1997
60fe04ef652fd1fafaa4ae50	1	prolific A	TRUE	txt/418548792.xml.txt	1998-01-02	Chicago Tribune	NA	NA	Editorials,Firefighters,Police,Minority & ethnic groups,Affirmative action,Labor unions	COP, FIRE UNIONS LIFT DALEY'S STATURE	428	TRUE	1998
60fe04ef652fd1fafaa4ae50	0	prolific A	TRUE	txt/420116341.xml.txt	2004-04-02	Chicago Tribune	John Kass	Kass, John	Firefighters,Appointments & personnel changes,Political behavior	Daley chooses Trotter to deflect political heat	722	FALSE	2004
60fe04ef652fd1fafaa4ae50	NA	prolific A	TRUE	txt/424224130.xml.txt	1981-11-16	New York Times	NA	NA	APPOINTMENTS AND EXECUTIVE CHANGES	More Foxes for the Chicken Coops	370	FALSE	1981
60fe04ef652fd1fafaa4ae50	NA	prolific A	TRUE	txt/2432777796.xml.txt	2020-08-12	New York Times	Melanye Price	Price, Melanye	African Americans,Presidential elections,Race,Political power,Candidates,Voting rights,Womens suffrage,Equal rights,Gender,Voter behavior,Political parties	This Is Not Just a Victory for Kamala Harris	801	TRUE	2020
60fe04ef652fd1fafaa4ae50	1	prolific A	TRUE	txt/2419240626.xml.txt	2020-06-30	The Washington Post	NA	NA	Attorneys general,Crime prevention,Law enforcement,Civil rights,Criminal law	The DOJ has been indispensable for 150 years. It needs a renewed emphasis on its founding spirit.	527	TRUE	2020
60fe04ef652fd1fafaa4ae50	NA	prolific A	TRUE	txt/2469478152.xml.txt	2020-12-12	Wall Street Journal	Phillip Lopate	Lopate, Phillip	Essays,Books,Year in review,Yiddish language,Writers	REVIEW --- Books of the Year -- Five Best: Phillip Lopate --- Editor of 'The Glorious American Essay,' an anthology.	957	FALSE	2020
63ed99d5c3520191a0a7280e	NA	prolific A	FALSE	txt/409129544.xml.txt	2001-03-07	The Washington Post	Michael Kelly	Kelly, Michael	Politics,Intelligence	Bush's Political Smarts	705	FALSE	2001
63ed99d5c3520191a0a7280e	0	prolific A	FALSE	txt/432419685.xml.txt	2003-06-29	New York Times	NA	NA	Editorials,Supreme Court decisions,Affirmative action,Gays & lesbians,Civil rights	A Moderate Term on the Court	674	TRUE	2003
63ed99d5c3520191a0a7280e	NA	prolific A	FALSE	txt/2633115690.xml.txt	2022-02-25	The Washington Post	George F Will	Will, George F	Hate crimes,Hate speech,Racism,Race,Trials	Ahmaud Arbery’s racist killers are grotesque, but their ‘hate crimes’ prosecution was a show trial	741	TRUE	2022
63ed99d5c3520191a0a7280e	NA	prolific A	FALSE	txt/2248215580.xml.txt	2019-06-28	New York Times	Moises Velasquez-Manoff	Velasquez-Manoff, Moises	Researchers,Students,Multiracial people,Middle class,Multiculturalism & pluralism,Race relations,College campuses,Native North Americans,Psychologists,Stereotypes	Want to Be Less Racist? Move to Hawaii	5269	TRUE	2019
63ed99d5c3520191a0a7280e	0.5	prolific A	FALSE	txt/398787032.xml.txt	2000-06-07	Wall Street Journal	By Holman W. Jenkins Jr.	NA	Litigation,Racial discrimination,Media coverage,Employment discrimination,Employees,Organizational change,Journalism,Journalists,Multiculturalism & pluralism,Racism,Civil rights,Affirmative action	Business World: Coke Wrestles With Race, Gets No Help From the Media	1050	TRUE	2000
63ed99d5c3520191a0a7280e	-1	prolific A	FALSE	txt/421525331.xml.txt	1999-07-22	Los Angeles Times	JAMES W. ROBINSON	Robinson, James W	Overtime,Labor law,Politics	Commentary; COLUMN RIGHT/ JAMES W. ROBINSON; Eight-Hour Bill Shows Davis' True Colors; Forget what he says about charting a centrist course. Look at the actions he's taken since he was elected last fall.	718	FALSE	1999
63ed99d5c3520191a0a7280e	-0.5	prolific A	FALSE	txt/1099415355.xml.txt	2012-10-12	Wall Street Journal	Jason L. Riley	Riley, Jason L	College admissions,Colleges & universities,Hispanic Americans,Patient Protection & Affordable Care Act 2010-US,State court decisions,Liberalism	Roberts and the Left	315	TRUE	2012
63ed99d5c3520191a0a7280e	-0.5	prolific A	FALSE	txt/418468651.xml.txt	1997-10-02	Chicago Tribune	NA	NA	Entrance examinations,Minority & ethnic groups,Affirmative action,Academic achievement	TESTING THE WATERS DROPPING THE SAT WOULD MEAN FAILING STUDENTS	797	TRUE	1997
63ed99d5c3520191a0a7280e	0.5	prolific A	FALSE	txt/2216641847.xml.txt	2011-08-05	New York Times	NA	NA	NA	The Madman Theory	821	NA	2011
63ed99d5c3520191a0a7280e	1	prolific A	FALSE	txt/2452692303.xml.txt	2020-10-22	The Washington Post	Kahlil Greene	Greene, Kahlil	Hispanic Americans,Presidents,Asian Americans,Law schools,Multiculturalism & pluralism,College campuses,Litigation,College admissions	The Trump administration is wrong on Yale admissions	802	TRUE	2020
57b76ea36aeef20001e8928d	NA	prolific A	TRUE	txt/1519805309.xml.txt	2014-04-30	Los Angeles Times	STEVE LOPEZ	Lopez, Steve	Sports team owners,Bans,Public opinion,Professional basketball -- Los Angeles Clippers,Racism	Kicking Sterling to the curb; At Tolliver's barbershop, no one gives Clippers' owner a pass for taped comments. There's consensus the U.S. has a long way to go on race.	961	TRUE	2014
57b76ea36aeef20001e8928d	NA	prolific A	TRUE	txt/421214771.xml.txt	1998-01-05	Los Angeles Times	RONALD BROWNSTEIN	Brownstein, Ronald	Public opinion,Future,Government,Politics	National Perspective; Rebirth of Optimism in America Contains Seeds for Altering Politics	999	FALSE	1998
57b76ea36aeef20001e8928d	0	prolific A	TRUE	txt/419493718.xml.txt	2001-11-11	Chicago Tribune	J Linn Allen J Linn Allen is the Tribune's higher education reporter	NA	College students,Terrorism,Multiculturalism & pluralism	Attacks show need for diversity	847	TRUE	2001
57b76ea36aeef20001e8928d	-0.5	prolific A	TRUE	txt/398538903.xml.txt	1997-01-24	Wall Street Journal	NA	NA	Editorials,Television stations,Affirmative action,License,Minority stockholders,Limited partnerships,Equity stake,Civil rights,State court decisions	Useful distinctions	646	TRUE	1997
57b76ea36aeef20001e8928d	0	prolific A	TRUE	txt/420306539.xml.txt	2004-10-14	Chicago Tribune	Michael Tackett, Tribune senior correspondent	NA	Debates,Political campaigns,Candidates,Presidential elections	Bush, Kerry on last dash after spirited final debate ; Election still verdict on president's record	1140	FALSE	2004
57b76ea36aeef20001e8928d	0	prolific A	TRUE	txt/2193427873.xml.txt	2019-03-18	The Washington Post	Jennifer Rubin	Rubin, Jennifer	Rhetoric,Immigration,Presidential elections,Noncitizens	Morning Bits: Trump’s megaphone amplifies white nationalism	355	FALSE	2019
57b76ea36aeef20001e8928d	-1	prolific A	TRUE	txt/2765919087.xml.txt	2023-01-17	Wall Street Journal	William McGurn	McGurn, William	Students,Asian Americans,Achievement tests,Attorneys general,Sex crimes,Secondary schools,School boards,Investigations,Academic achievement,Affirmative action	Main Street: The New Structural Racism	777	TRUE	2023
57b76ea36aeef20001e8928d	NA	prolific A	TRUE	txt/398920534.xml.txt	2003-12-02	Wall Street Journal	Melanie Kirkpatrick	Kirkpatrick, Melanie	Political appointments,Judges & magistrates,Political behavior,Disclosure,Medicare,Nominations,Political leadership,Interest groups,Partisanship,Federal court decisions,Judiciary,Affirmative action,Congressional committees	The Sound of Silence	975	TRUE	2003
57b76ea36aeef20001e8928d	NA	prolific A	TRUE	txt/2233007997.xml.txt	2001-01-04	New York Times	NA	NA	Political appointments,Abortion	These Are the Faces Of the Bush Team	142	FALSE	2001
57b76ea36aeef20001e8928d	0.5	prolific A	TRUE	txt/432405735.xml.txt	2003-05-12	New York Times	William Safire	Safire, William	Affirmative action,Fraud,Journalistic ethics,Multiculturalism & pluralism,Editors	'Huge Black Eye'	696	TRUE	2003
5bb91c132e2fe50001be0d08	-0.5	prolific A	TRUE	txt/421228265.xml.txt	1998-02-09	Los Angeles Times	GEORGE SKELTON	Skelton, George	State elections,Candidates,Governors	California and the West; Like Them or Not, These Candidates Got in the Game	773	FALSE	1998
5bb91c132e2fe50001be0d08	0.5	prolific A	TRUE	txt/398441227.xml.txt	1995-02-21	Wall Street Journal	NA	NA	Editorials,Civil rights,Affirmative action,Enrollments,Legislatures,Minority & ethnic groups	Affirmative reaction	715	TRUE	1995
5bb91c132e2fe50001be0d08	0	prolific A	TRUE	txt/2648708177.xml.txt	2022-04-10	Wall Street Journal	David Bernstein	Bernstein, David	Public schools,American history,Teaching,Students,African Americans,Ideology,Racism,Sons,Curricula,Oppression,Race,Education	Teach '1619' and '1776' U.S. History; The answer to ideological education isn't to ban the ideology but to make room for alternative views.	1076	TRUE	2022
5bb91c132e2fe50001be0d08	0	prolific A	TRUE	txt/398730713.xml.txt	2001-05-24	Wall Street Journal	By Bernard Goldberg	NA	Journalists,Television news,Bias,Conservatism,Affirmative action,Media coverage	On Media Bias, Network Stars Are Rather Clueless	956	TRUE	2001
