stance_coded	relevance	stance	stance_message	discussion_message	cost	issue	_pkey	iter
1	The commentary by Clarence Page provides a nuanced view on the discussion of political cliches and offers a counterpoint to Goldberg's conservative perspective.	somewhat_against	Clarence Page offers a critical perspective on Jonah Goldberg's critique of liberal cliches, providing counterarguments and highlighting the value of cliches. He also points out problematic cliches from the political right, aiming to provide balance to Goldberg's arguments.	"The text provided is a commentary by Clarence Page, a member of the Tribune's editorial board, discussing Jonah Goldberg's book titled ""The Tyranny of Cliches: How Liberals Cheat in the War of Ideas."" Page points out that Goldberg, a conservative author, criticizes political cliches commonly used by liberals. Page reflects on some of the cliches mentioned in Goldberg's book, such as ""Diversity is strength"" and ""One man's terrorist is another man's freedom fighter,"" offering his perspective on them. He also provides examples of cliches from the political right that he finds annoying, aiming to provide balance to Goldberg's arguments.

Page seems to have a critical perspective on Goldberg's focus on liberal cliches and offers counterarguments to some of the points raised in Goldberg's book. He suggests that cliches can hold wisdom and highlights examples of cliches from the political right that he finds problematic. Overall, Page seems to imply that cliches can sometimes hold value and that Goldberg's critique may not fully capture the nuances of certain political phrases."	0.001109	affirmative action	txt/1011079659.xml.txt	0
1	The text discusses the specific case of Elizabeth Warren's identification as a minority law professor and the implications of using her supposed Native American heritage for diversity purposes.	somewhat_against	The author criticizes the use of Elizabeth Warren's unverified Native American ancestry to promote diversity in academia, arguing for a more genuine approach to diversity based on a range of experiences and perspectives.	"The text discusses Elizabeth Warren's identification as a ""minority"" law professor in the 1980s and 1990s, based on a belief in her Native American ancestry. The author criticizes the way Warren's distant connection to a Cherokee ancestor was used by institutions like Harvard Law School to showcase diversity, despite the lack of concrete evidence. The author argues that while diversity in academia is important, it should be based on a genuine range of experiences and perspectives rather than meeting ethnic quotas. The text highlights the irony of Warren's situation, where her blue-collar background was overshadowed by the emphasis on her supposed Native American heritage. The author suggests that the focus on superficial diversity, rather than meaningful inclusion, is a flawed approach that needs to be reconsidered by academic institutions."	0.0010285	affirmative action	txt/1014285656.xml.txt	0
1	The discussion of affirmative action is part of a broader critique of Reagan's ideology and its consequences on issues like inequality.	somewhat_against	The author, Drew Westen, is critical of Reagan's stance on affirmative action and its impact on American politics and society.	"The text provided discusses the importance of having a clear vision in politics, drawing parallels between historical figures like Franklin D. Roosevelt and Ronald Reagan, and the current presidential candidates. The author, Drew Westen, criticizes both Mitt Romney and President Obama for failing to offer a compelling vision that resonates with the American people. Westen highlights the influence of money in politics, the caution of the candidates, and the historical context of past presidencies in shaping the current lack of a clear vision in American politics. The author also critiques Reagan's ideology and its lasting impact on American politics, particularly in relation to issues like affirmative action and inequality.

Westen's perspective on affirmative action seems critical as he suggests that Reagan's opposition to government programs like affirmative action was part of a broader critique of government overreach. He implies that Reagan's stance resonated with white working-class males who felt challenged by affirmative action and other social changes. Westen argues that Reagan's deregulation efforts, while aimed at reducing government power, ultimately led to increased corruption and inequality, with negative consequences for ordinary Americans. Overall, the author seems to view affirmative action within the broader context of political ideologies and their impact on societal issues like inequality."	0.0012915000000000001	affirmative action	txt/1022742622.xml.txt	0
2	The discussion of Chief Justice Roberts's decision in a high-profile case and its potential implications for future decisions on controversial issues like affirmative action highlights the author's perspective on the broader impact of judicial decisions.	neutral	The author discusses Chief Justice John Roberts's decision in a specific case and speculates on the potential motivations behind it, suggesting that the decision may have been influenced by factors beyond a strict interpretation of the law.	"The text discusses Chief Justice John Roberts's decision in the National Federation of Independent Business v. Sebelius case, where he upheld the individual mandate as a tax. The author explores the speculation that Roberts's decision was motivated by a desire to preserve the integrity and reputation of the Supreme Court, especially in a politically polarized environment. The text questions whether Roberts's decision was influenced by concerns about public perception and the court's image, rather than a strict interpretation of the law. The author also highlights the contrast between liberal justices who align with the Democratic Party's desired outcomes and conservative justices who adhere to constitutional limits.

The author's perspective on affirmative action is not explicitly stated in the text, but it is implied that Chief Justice Roberts's decision in the healthcare case could impact future decisions on hot-button issues like affirmative action, gay marriage, and the Voting Rights Act. The author suggests that Roberts's decision may have been influenced by a desire to earn political capital for future cases, raising questions about the integrity of the court's decisions."	0.0011259999999999998	affirmative action	txt/1023015447.xml.txt	0
0	The author's perspective is relevant in the context of discussions on affirmative action and its impact on equality and discrimination.	strongly_against	The author criticizes the Obama administration's support for affirmative action in university admissions, arguing that it leads to discrimination based on race and goes against the principle of treating all individuals equally.	"The author of the text is critical of the Obama administration's stance on affirmative action in university admissions. The author argues that considering race as a factor in admissions, even under the pretense of promoting diversity, ultimately leads to discrimination based on race or ethnicity. The author believes that treating all individuals equally, regardless of race, is a fundamental American principle and that affirmative action policies contradict this principle. The author uses the analogy of ""destroying the village in order to save it"" to emphasize their perspective on the negative consequences of affirmative action."	0.0005425	affirmative action	txt/1034256694.xml.txt	0
1	The analysis of Chief Justice Roberts's stance on affirmative action is central to understanding his potential decisions in cases involving race-based considerations.	somewhat_against	The author's perspective is based on Chief Justice Roberts's past conservative positions and questioning during the Fisher case, implying skepticism towards affirmative action.	"The text discusses Chief Justice John Roberts's questioning during oral arguments in the Fisher v. University of Texas case, which involves racial preferences in college admissions. Abigail Fisher, a white woman, claims she was denied admission based on her race, while the university argues that considering race is necessary to achieve a diverse student body. The author suggests that Chief Justice Roberts's questioning during the oral arguments indicates he is unlikely to consistently side with the liberal wing of the Supreme Court on issues like affirmative action. The author emphasizes Roberts's past conservative positions on issues such as redistricting and affirmative action, indicating his support for ""true equality and ending discrimination.""

The author's perspective on affirmative action, as reflected in Chief Justice Roberts's previous rulings and questioning during the Fisher case, suggests a skepticism or reluctance towards policies that involve race-based considerations in admissions. The author implies that Roberts is more inclined towards a color-blind approach to the law and is unlikely to fully support affirmative action measures."	0.000763	affirmative action	txt/1099415355.xml.txt	0
1	The discussion on the Voting Rights Act and its implications for affirmative action is relevant as it addresses the broader impact of legislation aimed at promoting minority rights in the political sphere.	somewhat_against	The author presents a critical perspective on the Voting Rights Act, suggesting that while it was crucial in securing minority voting rights, its enforcement may have unintended consequences like racial gerrymandering and political polarization. The author implies that the VRA may need reevaluation in the current political context.	The author discusses the upcoming Supreme Court ruling on the 1965 Voting Rights Act and presents a perspective on affirmative action. The author argues that while the VRA was designed to end the historic suppression of African American voting and has been reauthorized by Congress, it has unintended consequences such as greater political polarization along racial lines. The author highlights that the VRA, as interpreted and enforced, leads to racial gerrymandering that may limit the rise of minority candidates. Despite acknowledging the benefits of the VRA in securing minority enfranchisement, the author suggests that the law may no longer be fully relevant in the current political landscape and that it could be time for a reevaluation of its impact. The author implies that the Supreme Court may rule against the VRA, citing concerns about its real-world consequences and potential disconnection from the present time, which could spark a debate on how to protect voting rights while restoring political balance.	0.0010854999999999999	affirmative action	txt/1370789528.xml.txt	0
2	The text is relevant as it discusses the nuances of the Supreme Court Justices' perspectives and voting behaviors, especially on contentious issues like affirmative action.	neutral	The author provides a detailed analysis of the voting patterns and alignments of Supreme Court Justices, particularly focusing on the three female justices and their differences on certain key issues like affirmative action.	"The text discusses the voting patterns and alignments of the Supreme Court Justices, particularly focusing on the three female justices: Ruth Bader Ginsburg, Sonia Sotomayor, and Elena Kagan. These three justices are noted to be the most liberal on the court and tend to vote together frequently. The text also highlights Justice Stephen G. Breyer's divergence from the liberal wing in certain cases. It mentions the dominance of the female justices during Supreme Court arguments in the last term, with Justice Sotomayor being particularly highlighted due to her memoir and public appearances. Despite their ideological similarities, the text notes instances where the female justices were divided on significant cases like same-sex marriage and affirmative action.

Regarding affirmative action, the author's perspective suggests that Justices Ginsburg and Sotomayor were divided on the issue, with Justice Ginsburg filing a lone dissent in a case related to the University of Texas's affirmative action plan. The author acknowledges the ideological similarity of the three female justices but also points out instances where they did not fully agree on certain key issues."	0.001272	affirmative action	txt/1372854272.xml.txt	0
3	The text's focus on racism, inequality, and societal challenges related to race relations is relevant to the discussion of affirmative action and its role in promoting equality.	somewhat_in_favor	The author does not explicitly mention affirmative action, but the discussion of racial tensions and inequalities in society suggests a belief in the importance of addressing systemic discrimination.	"The text discusses the reaction to the NBA's decision to ban Los Angeles Clippers owner Donald Sterling for life due to racist remarks he made. The author, Steve Lopez, presents the perspective of individuals from a South Los Angeles barbershop, including Lawrence Tolliver, who express their disdain for Sterling's comments and behavior. Tolliver and others in the barbershop view Sterling's actions as reflective of a larger issue of racism and inequality in society. They criticize Sterling's past behavior, question the motives behind his charitable donations, and highlight the ongoing challenges related to race relations in the country. The text also touches upon differing opinions within the barbershop, with one individual questioning the focus on Sterling compared to other societal issues like the objectification of women and glorification of gangs in popular culture.

The author's perspective on affirmative action is not explicitly mentioned in the text. However, the text does reference a recent U.S. Supreme Court ruling that suggests a potential shift away from affirmative action. The author seems to highlight the ongoing racial tensions and inequalities in society, which may imply a belief in the importance of affirmative action as a tool to address systemic discrimination and promote equality."	0.0012920000000000002	affirmative action	txt/1519805309.xml.txt	0
3	The author's perspective is focused on the specific affirmative-action program at the University of Texas at Austin and the legal battle surrounding it.	somewhat_in_favor	The author supports the University of Texas at Austin's affirmative-action program as a necessary effort to promote diversity and considers it constitutional.	"The text discusses the ongoing legal battle over the affirmative-action program at the University of Texas at Austin. The U.S. Court of Appeals for the 5th Circuit recently upheld the university's admissions policies, arguing that they are constitutional and that the program is a carefully designed effort to achieve diversity. The text highlights the complexity of affirmative action cases, with arguments for and against the policy. It also points out the lack of clear guidance from the Supreme Court on what constitutes constitutionally acceptable affirmative action in public universities.

The author's perspective on affirmative action is supportive of the University of Texas at Austin's program. They argue that the university's affirmative-action policy, which complements the race-neutral top 10 percent program, is a cautious and necessary effort to promote diversity and consider individual student profiles. The author calls for the Supreme Court to provide clearer guidance on affirmative action in public universities and ultimately supports the university's affirmative-action program as permissible and beneficial for achieving diversity."	0.000889	affirmative action	txt/1548604795.xml.txt	0
