stance_coded	stance	message	cost	issue	_pkey
None	None	None	0.0015125000000000002	affirmative action	txt/420557855.xml.txt
-1	against	The stance of the tweet is Against affirmative action.	0.0030050000000000003	affirmative action	txt/432267882.xml.txt
None	None	None	0.000692	affirmative action	txt/430898745.xml.txt
None	None	None	0.0014855	affirmative action	txt/408345486.xml.txt
None	None	None	0.001064	affirmative action	txt/2833402706.xml.txt
None	None	None	0.0018005	affirmative action	txt/431248074.xml.txt
None	None	None	0.0021184999999999997	affirmative action	txt/432471477.xml.txt
-1	against	Against	0.0017690000000000002	affirmative action	txt/307867242.xml.txt
None	None	None	0.0016805000000000001	affirmative action	txt/419989695.xml.txt
-1	against	The stance of the tweet is Against affirmative action.	0.0013115000000000002	affirmative action	txt/409060590.xml.txt
None	None	None	0.0014645	affirmative action	txt/2154417607.xml.txt
None	None	None	0.0012965000000000001	affirmative action	txt/409718670.xml.txt
1	favor	Favor	0.0009175	affirmative action	txt/421609713.xml.txt
-1	against	The tweet expresses a stance against affirmative action.	0.0022844999999999996	affirmative action	txt/2832640273.xml.txt
None	None	None	0.0017375000000000001	affirmative action	txt/420733639.xml.txt
1	favor	The stance of the tweet is in Favor of affirmative action.	0.0014655	affirmative action	txt/2417314051.xml.txt
None	None	None	0.0013115000000000002	affirmative action	txt/408580425.xml.txt
None	None	None	0.001544	affirmative action	txt/1023015447.xml.txt
None	None	None	0.001472	affirmative action	txt/1011079659.xml.txt
None	None	None	0.0014135	affirmative action	txt/432405735.xml.txt
None	None	None	0.0016475	affirmative action	txt/421228265.xml.txt
None	None	None	0.001559	affirmative action	txt/424890519.xml.txt
-1	against	The text is Against affirmative action.	0.0011945	affirmative action	txt/428907164.xml.txt
None	None	None	0.0022925	affirmative action	txt/432876223.xml.txt
None	None	None	0.0018815000000000001	affirmative action	txt/398730713.xml.txt
-1	against	The text is against the teaching of critical race theory (CRT) in schools and advocates for a more open and balanced approach to teaching about race and racism. Therefore, the stance of the text is Against affirmative action.	0.0021605	affirmative action	txt/2648708177.xml.txt
None	None	None	0.002819	affirmative action	txt/2628908360.xml.txt
None	None	None	0.0016610000000000001	affirmative action	txt/2009409469.xml.txt
1	favor	Favor	0.001948	affirmative action	txt/1519805309.xml.txt
