filename	date	source	author	author_normalized	title	word_count	isLabeled	wc_bin
txt/2452692303.xml.txt	2020-10-22	The Washington Post	Kahlil Greene	Greene, Kahlil	The Trump administration is wrong on Yale admissions	802	TRUE	medium
txt/418768610.xml.txt	1999-01-18	Chicago Tribune	Salim Muwakkil.	Muwakkil, Salim	USDA SETTLEMENT ADVANCES ARGUMENT FOR REPARATIONS	737	TRUE	medium
txt/432419685.xml.txt	2003-06-29	New York Times	NA	NA	A Moderate Term on the Court	674	TRUE	medium
txt/2244665351.xml.txt	2019-06-21	Chicago Tribune (Online)	Darcel Rockett	Rockett, Darcel	Commentary: Reparations are necessary, if we want to move past being a nation of ‘Sorry, not sorry’	762	TRUE	medium
txt/398538903.xml.txt	1997-01-24	Wall Street Journal	NA	NA	Useful distinctions	646	TRUE	medium
txt/2419240626.xml.txt	2020-06-30	The Washington Post (Online)	NA	NA	The DOJ has been indispensable for 150 years. It needs a renewed emphasis on its founding spirit.	527	TRUE	medium
txt/408345486.xml.txt	1997-09-25	The Washington Post	Rodney E. Slater	Slater, Rodney E	When the Doors Opened at Central High	784	TRUE	medium
txt/424669038.xml.txt	1983-07-17	New York Times	ROSENTHAL, JACK	ROSENTHAL, JACK	The Editorial Notebook; Morris Abram, LBJ and Neutrality	755	TRUE	medium
txt/431248074.xml.txt	1999-10-31	New York Times	Henry Louis Gates Jr.	Gates, Henry Louis, Jr	One Internet, Two Nations	971	TRUE	medium
txt/398730713.xml.txt	2001-05-24	Wall Street Journal	By Bernard Goldberg	NA	On Media Bias, Network Stars Are Rather Clueless	956	TRUE	medium
txt/2682983998.xml.txt	2022-07-01	The Washington Post (Online)	NA	NA	We have been warned	624	TRUE	medium
txt/1667204395.xml.txt	2015-03-29	The Washington Post	William G Bowen	Bowen, William G	Divestment isn'the answer	732	TRUE	medium
txt/430810646.xml.txt	1997-06-22	New York Times	Frank Rich	Rich, Frank	Better Never Than Late	712	TRUE	medium
txt/428907164.xml.txt	1993-02-27	New York Times	Bond	BOND	Putting the Spin on the N.A.A.C.P.	567	TRUE	medium
txt/398920534.xml.txt	2003-12-02	Wall Street Journal	Melanie Kirkpatrick	Kirkpatrick, Melanie	The Sound of Silence	975	TRUE	medium
txt/1799136984.xml.txt	2016-06-24	New York Times	NA	NA	The Court Decides, and Doesn't: Affirmative Action Survives, Again	702	TRUE	medium
txt/2444131672.xml.txt	2020-09-19	The Washington Post (Online)	Nancy Gertner	Gertner, Nancy	Ruth Bader Ginsburg was all I wanted to be	844	TRUE	medium
txt/421424365.xml.txt	1998-11-23	Los Angeles Times	GEORGE SKELTON	Skelton, George	California and the West; Now Latinos Are Changing the Face of Both Parties	740	TRUE	medium
txt/419493718.xml.txt	2001-11-11	Chicago Tribune	J Linn Allen J Linn Allen is the Tribune's higher education reporter	NA	Attacks show need for diversity	847	TRUE	medium
txt/399055159.xml.txt	2008-07-05	Wall Street Journal	John Fund	Fund, John	How Jesse Helms Made a Difference	989	TRUE	medium
txt/432763623.xml.txt	2004-05-22	New York Times	Ian Haney Lopez	NA	Hernandez v. Brown	908	TRUE	medium
txt/398441227.xml.txt	1995-02-21	Wall Street Journal	NA	NA	Affirmative reaction	715	TRUE	medium
txt/2633115690.xml.txt	2022-02-25	The Washington Post (Online)	George F Will	Will, George F	Ahmaud Arbery’s racist killers are grotesque, but their ‘hate crimes’ prosecution was a show trial	741	TRUE	medium
txt/2215402698.xml.txt	2013-03-19	New York Times (Online)	NA	NA	Affirmative Action: Looking at the Data	554	TRUE	medium
txt/421507153.xml.txt	1999-03-08	Los Angeles Times	GEORGE SKELTON	Skelton, George	California and the West; The Rise and Fall of Issues--Even Education	744	TRUE	medium
txt/2833402706.xml.txt	2023-07-05	The Washington Post (Online)	NA	NA	The Supreme Court’s wedding website ruling is gobsmacking	527	TRUE	medium
txt/430957877.xml.txt	1998-04-23	New York Times	Lani Guinier	Guinier, Lani	An Equal Chance	644	TRUE	medium
txt/408485014.xml.txt	1999-05-02	The Washington Post	George F. Will	Will, George F	A Tip for Bill Bradley	760	TRUE	medium
txt/420906077.xml.txt	2010-01-24	Chicago Tribune	Melissa Harris	Harris, Melissa	Nonprofits try to improve board diversity	742	TRUE	medium
txt/432374988.xml.txt	2003-04-06	New York Times	Adam Cohen	Cohen, Adam	Why Justice O'Connor Could Be Affirmative Action's Unlikely Savior	909	TRUE	medium
txt/432405735.xml.txt	2003-05-12	New York Times	William Safire	Safire, William	'Huge Black Eye'	696	TRUE	medium
txt/1519805309.xml.txt	2014-04-30	Los Angeles Times	STEVE LOPEZ	Lopez, Steve	Kicking Sterling to the curb; At Tolliver's barbershop, no one gives Clippers' owner a pass for taped comments. There's consensus the U.S. has a long way to go on race.	961	TRUE	medium
txt/2432777796.xml.txt	2020-08-12	New York Times (Online)	Melanye Price	Price, Melanye	This Is Not Just a Victory for Kamala Harris	801	TRUE	medium
txt/398321574.xml.txt	1991-07-31	Wall Street Journal	Crovitz, L Gordon	Crovitz, L Gordon	On Brown v. Board of Education, Call Him Thurgood Thomas	873	TRUE	medium
txt/418520188.xml.txt	1997-12-14	Chicago Tribune	Mary Cianni Richard K. Caputo. Special to the Tribune.	NA	MAKING JOB TRAINING MORE ACCESSIBLE IS AN AFFIRMATIVE ACTION	890	TRUE	medium
txt/408354994.xml.txt	1997-12-22	The Washington Post	NA	NA	The University of Michigan Case	599	TRUE	medium
txt/430872205.xml.txt	1997-11-28	New York Times	Anthony Lewis	Lewis, Anthony	Violins In the Wings	676	TRUE	medium
txt/418468651.xml.txt	1997-10-02	Chicago Tribune	NA	NA	TESTING THE WATERS DROPPING THE SAT WOULD MEAN FAILING STUDENTS	797	TRUE	medium
txt/2765919087.xml.txt	2023-01-17	Wall Street Journal	William McGurn	McGurn, William	Main Street: The New Structural Racism	777	TRUE	medium
txt/421647247.xml.txt	2001-11-21	Los Angeles Times	EDWIN A. LOCKE	Locke, Edwin A	Commentary; UC Regents Inject Race Into Admissions, Yet Again	630	TRUE	medium
txt/408439658.xml.txt	1999-02-19	The Washington Post	William Raspberry	Raspberry, William	Black Leaders of the Future	704	TRUE	medium
txt/1014285656.xml.txt	2012-05-20	New York Times	Ross Douthat	Douthat, Ross	A Little Bit Indian	806	TRUE	medium
txt/408345293.xml.txt	1997-11-07	The Washington Post	William Raspberry	Raspberry, William	Affirmative Action: We Know Better	739	TRUE	medium
txt/408580425.xml.txt	2000-01-31	The Washington Post	William Raspberry	Raspberry, William	Colorblind Conservatives?	653	TRUE	medium
txt/2417314051.xml.txt	2020-06-26	Los Angeles Times (Online)	Jennifer Lee	Lee, Jennifer	Op-Ed: Why California needs affirmative action more than ever	735	TRUE	medium
txt/1774364135.xml.txt	2016-03-20	Los Angeles Times	Jon A. Shields	Shields, Jon A	Affirmative action for conservatives?	974	TRUE	medium
txt/2154417607.xml.txt	2018-12-12	Wall Street Journal (Online)	Jason L. Riley	Riley, Jason L	Racial Preferences Aren't Only an American Problem; Discriminatory programs tend to benefit the well-off instead of the poor. And they never seem to end.	766	TRUE	medium
txt/420033919.xml.txt	2004-03-10	Chicago Tribune	NA	NA	Incendiary hate	936	TRUE	medium
txt/1372854272.xml.txt	2013-07-02	New York Times	Adam Liptak	Liptak, Adam	Three Justices Bound by Beliefs, Not Just Gender	965	TRUE	medium
txt/418468478.xml.txt	1997-09-30	Chicago Tribune	Richard Estrada. The Dallas Morning News.	NA	TOLERANCE FOR UNEASY DISCUSSIONS	709	TRUE	medium
txt/409707034.xml.txt	2004-11-28	The Washington Post	George F. Will	Will, George F	Academia, Stuck To the Left	729	TRUE	medium
txt/421118533.xml.txt	1997-01-20	Los Angeles Times	EARL OFARI HUTCHINSON	HUTCHINSON, EARL OFARI	PERSPECTIVE ON MARTIN LUTHER KING JR.; A Visionary With More Than a Dream; Today's fuzzy icon had many practical ideas for improving the lot of blacks, some now taken for granted.	903	TRUE	medium
txt/2832643195.xml.txt	2023-07-04	The Washington Post	Kathleen Parker	Parker, Kathleen	AI doesn't care about diversity - yet	938	TRUE	medium
txt/422176235.xml.txt	2007-10-15	Los Angeles Times	James Kirchick	Kirchick, James	Who's the hypocrite?; It's not fair to use affirmative action against Clarence Thomas.	852	TRUE	medium
txt/2236765173.xml.txt	1997-09-07	New York Times (Online)	NA	NA	How to Save Affirmative Action	802	TRUE	medium
txt/398482848.xml.txt	1996-04-04	Wall Street Journal	Granger, Michael Y	Granger, Michael Y	Cut cap gains tax, boost black jobs	723	TRUE	medium
txt/2090998076.xml.txt	2018-08-22	Los Angeles Times	Gustavo Arellano	Arellano, Gustavo	Happy birthday, Pedro	810	TRUE	medium
txt/1716194235.xml.txt	2015-09-25	Los Angeles Times	Erwin Chemerinsky	Chemerinsky, Erwin	UC: free speech vs. hate speech	712	TRUE	medium
txt/421591042.xml.txt	2001-02-26	Los Angeles Times	HALFORD H. FAIRCHILD	Fairchild, Halford H	Commentary; SAT's 'Halo Effect' Casts a Long Shadow	758	TRUE	medium
txt/418239486.xml.txt	1997-02-23	Chicago Tribune	Clarence Page.	Page, Clarence	HOW CHURCHES CAN HEAL OUR RACIAL DIVIDE	721	TRUE	medium
txt/1370789528.xml.txt	2013-01-01	The Washington Post (Online)	NA	NA	Supreme Court can tune up the Voting Rights Act (Posted 2013-06-25 02:35:16)	739	TRUE	medium
txt/420294538.xml.txt	2005-08-10	Chicago Tribune	Clarence Page	Page, Clarence	'Indispensable' ; Johnson advised that the secret to success was to make yourself indispensable. He did and he was.	762	TRUE	medium
txt/2212953270.xml.txt	2014-11-01	New York Times (Online)	NA	NA	They Call Me Doctor Berry	814	TRUE	medium
txt/2454579785.xml.txt	2020-10-28	Chicago Tribune	Dahleen Glanton	Glanton, Dahleen	Trump's claim about doing more for black people makes me sick	805	TRUE	medium
txt/431493919.xml.txt	2000-07-05	New York Times	Matthew Purdy	Purdy, Matthew	A Lesson In Bigotry And Liberty	729	TRUE	medium
txt/2837300226.xml.txt	2023-07-15	Los Angeles Times (Online)	Ibert Schultz	Schultz, Ibert	Opinion: Now that affirmative action is banned, the way to level the field is one Black student at a time	830	TRUE	medium
txt/421552708.xml.txt	1999-04-20	Los Angeles Times	AGUSTIN GURZA	Gurza, Agustin	A Father-Son Discussion on Affirmative Action	756	TRUE	medium
txt/399070959.xml.txt	2008-10-17	Wall Street Journal	Jason L. Riley	Riley, Jason L	WEEKEND JOURNAL; Taste -- de gustibus: What Obama Can't Change: The Lives of Blacks	896	TRUE	medium
txt/1919844871.xml.txt	2017-07-18	Los Angeles Times	NA	NA	Is there bias on our ballots? To avoid charges of partisanship, let an independent third party put titles and summaries on initiatives.	675	TRUE	medium
