relevance_numeric	id	stance_numeric	stance_label	coder_id	relevance_label
2	aa_opeds_sample/txt/420557855.xml.txt	2	Somewhat against	60f657824394dac9902c821f	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/432267882.xml.txt	2	Somewhat against	60f657824394dac9902c821f	Affirmative action is mentioned, but is not the main subject
1	aa_opeds_sample/txt/430898745.xml.txt	4	Somewhat in favor	60f657824394dac9902c821f	Affirmative action is the main subject.
2	aa_opeds_sample/txt/408345486.xml.txt	5	Strongly in favor	60f657824394dac9902c821f	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/2833402706.xml.txt	5	Strongly in favor	60f657824394dac9902c821f	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/431248074.xml.txt	4	Somewhat in favor	60f657824394dac9902c821f	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/428907164.xml.txt	5	Strongly in favor	60f657824394dac9902c821f	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/215497350.xml.txt	2	Somewhat against	60f657824394dac9902c821f	Affirmative action is mentioned, but is not the main subject
1	test_question_testing_2	1	Strongly against	60f657824394dac9902c821f	Affirmative action is the main subject.
2	aa_opeds_sample/txt/432471477.xml.txt	3	Neutral, or not enough information	60f657824394dac9902c821f	Affirmative action is mentioned, but is not the main subject
1	aa_opeds_sample/txt/307867242.xml.txt	2	Somewhat against	60f657824394dac9902c821f	Affirmative action is the main subject.
2	aa_opeds_sample/txt/2700218837.xml.txt	3	Neutral, or not enough information	63daabbd0ca8de9fc5709d1d	Affirmative action is mentioned, but is not the main subject
1	test_question_testing_3	1	Strongly against	63daabbd0ca8de9fc5709d1d	Affirmative action is the main subject.
3	aa_opeds_sample/txt/419989695.xml.txt	3	Neutral, or not enough information	63daabbd0ca8de9fc5709d1d	Affirmative action is not mentioned.
2	aa_opeds_sample/txt/2831679997.xml.txt	3	Neutral, or not enough information	63daabbd0ca8de9fc5709d1d	Affirmative action is mentioned, but is not the main subject
1	aa_opeds_sample/txt/409060590.xml.txt	3	Neutral, or not enough information	63daabbd0ca8de9fc5709d1d	Affirmative action is the main subject.
1	aa_opeds_sample/txt/2154417607.xml.txt	2	Somewhat against	63daabbd0ca8de9fc5709d1d	Affirmative action is the main subject.
2	aa_opeds_sample/txt/409718670.xml.txt	3	Neutral, or not enough information	63daabbd0ca8de9fc5709d1d	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/421609713.xml.txt	3	Neutral, or not enough information	63daabbd0ca8de9fc5709d1d	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/2832640273.xml.txt	3	Neutral, or not enough information	63daabbd0ca8de9fc5709d1d	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/420733639.xml.txt	3	Neutral, or not enough information	63daabbd0ca8de9fc5709d1d	Affirmative action is mentioned, but is not the main subject
