stance_label	stance_numeric	id	coder_id	relevance_label	relevance_numeric
Somewhat In Favor	4	aa_opeds_sample/txt/418950637.xml.txt	600c167e28de48080e812884	It is discussed briefly.	2
		aa_opeds_sample/txt/2244665351.xml.txt	600c167e28de48080e812884	It is discussed briefly.	2
Neutral	3	aa_opeds_sample/txt/2648708177.xml.txt	600c167e28de48080e812884	It is discussed briefly.	2
Somewhat In Favor	4	aa_opeds_sample/txt/421333085.xml.txt	600c167e28de48080e812884	It is the main subject.	1
Somewhat In Favor	4	aa_opeds_sample/txt/2444131672.xml.txt	600c167e28de48080e812884	It is discussed briefly.	2
Somewhat In Favor	4	aa_opeds_sample/txt/421303437.xml.txt	600c167e28de48080e812884	It is discussed briefly.	2
Somewhat In Favor	4	aa_opeds_sample/txt/2193427873.xml.txt	600c167e28de48080e812884	It is discussed briefly.	2
Somewhat In Favor	4	aa_opeds_sample/txt/428907164.xml.txt	600c167e28de48080e812884	It is discussed briefly.	2
Neutral	3	aa_opeds_sample/txt/1823531226.xml.txt	600c167e28de48080e812884	It is discussed briefly.	2
Strongly In Favor	5	test_question_pro_testing_1	600c167e28de48080e812884	It is the main subject.	1
Strongly Against	1	aa_opeds_sample/txt/1034256694.xml.txt	600c167e28de48080e812884	It is the main subject.	1
N/A (not enough information)	6	aa_opeds_sample/txt/418768610.xml.txt	60fe04ef652fd1fafaa4ae50	It is discussed briefly.	2
Neutral	3	aa_opeds_sample/txt/408654746.xml.txt	60fe04ef652fd1fafaa4ae50	It is discussed briefly.	2
Strongly Against	1	aa_opeds_sample/txt/421647247.xml.txt	60fe04ef652fd1fafaa4ae50	It is discussed briefly.	2
Somewhat In Favor	4	aa_opeds_sample/txt/421333085.xml.txt	60fe04ef652fd1fafaa4ae50	It is the main subject.	1
Strongly In Favor	5	aa_opeds_sample/txt/418548792.xml.txt	60fe04ef652fd1fafaa4ae50	It is discussed briefly.	2
Neutral	3	aa_opeds_sample/txt/420116341.xml.txt	60fe04ef652fd1fafaa4ae50	It is discussed briefly.	2
N/A (not enough information)	6	aa_opeds_sample/txt/424224130.xml.txt	60fe04ef652fd1fafaa4ae50	It is discussed briefly.	2
N/A (not enough information)	6	aa_opeds_sample/txt/2432777796.xml.txt	60fe04ef652fd1fafaa4ae50	It is discussed briefly.	2
Strongly In Favor	5	test_question_pro_testing_1	60fe04ef652fd1fafaa4ae50	It is discussed briefly.	2
