endDate	PROLIFIC_PID	QID2	recordedDate	_recordId	userLanguage	responseId	progress	QID5	locationLatitude	finished	QID1	status	QID8	QID3	QID4	locationLongitude	ipAddress	startDate	duration	distributionChannel	QID6
2023-12-18T21:18:14Z	61702a401deb7d2565f96139	1	2023-12-18T21:18:14.747Z	R_6FQGWiFeCO9ZEjO	EN	R_6FQGWiFeCO9ZEjO	100	3	40.7718	1	1	0	5	1	4	-74.2098	172.59.209.3	2023-12-18T21:11:29Z	404	anonymous	3
2023-12-18T21:19:56Z	644f3fab7952c36c2bfa3393	1	2023-12-18T21:19:57.459Z	R_6y7mT5aJrpWnKMK	EN	R_6y7mT5aJrpWnKMK	100	2	32.7797	1	1	0	5	3	4	-96.8022	172.58.109.128	2023-12-18T21:14:14Z	342	anonymous	1
2023-12-18T21:22:33Z	6578eb199d938bc19925a731	1	2023-12-18T21:22:33.503Z	R_3iqhvMMK73ltYS4	EN	R_3iqhvMMK73ltYS4	100	3	38.9512	1	1	0	5	2	4	-76.4944	71.179.38.119	2023-12-18T21:20:51Z	101	anonymous	1
2023-12-18T21:22:38Z	5f9d53c5a1f16e2576a935ed	3	2023-12-18T21:22:39.080Z	R_75Tbx0g0Gy6EzU5	EN	R_75Tbx0g0Gy6EzU5	100	2	35.1936	1	3	0	4	1	4	-80.6865	174.216.4.142	2023-12-18T21:19:18Z	200	anonymous	3
2023-12-18T21:23:30Z	656ea4a8b59440aff1d9c6b9	1	2023-12-18T21:23:30.695Z	R_3sCJ4Sxzu4j6LSN	EN	R_3sCJ4Sxzu4j6LSN	100	1	42.3394	1	1	0	5	1	4	-122.8475	75.142.8.16	2023-12-18T21:21:18Z	131	anonymous	2
2023-12-18T21:23:55Z	654ac658b81dd20951dec032	1	2023-12-18T21:23:56.155Z	R_5pEDg3phXwy4K1L	EN	R_5pEDg3phXwy4K1L	100	3	33.5815	1	1	0	5	1	4	-85.0803	35.129.148.198	2023-12-18T21:22:20Z	95	anonymous	1
2023-12-18T21:27:28Z	6580ab64459a9ec6fcc653b3	1	2023-12-18T21:27:29.216Z	R_3DvB5p1dAD7SZ2O	EN	R_3DvB5p1dAD7SZ2O	100	4	39.1235	1	1	0	5	2	4	-88.5672	173.26.69.188	2023-12-18T21:25:38Z	109	anonymous	1
2023-12-18T21:30:54Z	61fa8f62f42b633229bbf165	1	2023-12-18T21:30:54.562Z	R_73Ttz6NGFam1omv	EN	R_73Ttz6NGFam1omv	100	3	39.6073	1	1	0	5	2	4	-84.1867	74.135.94.80	2023-12-18T21:25:57Z	296	anonymous	1
2023-12-18T21:31:43Z	655e4106d5167a59c54d7dde	1	2023-12-18T21:31:43.516Z	R_3wR0O0MTed8YrSL	EN	R_3wR0O0MTed8YrSL	100	3	33.8654	1	1	0	5	2	4	-84.3385	99.108.234.19	2023-12-18T21:30:27Z	75	anonymous	1
2023-12-18T21:32:08Z	5d7d4ce5ea2fe40015dff554	1	2023-12-18T21:32:09.325Z	R_1qvSOtK4ZcNygsx	EN	R_1qvSOtK4ZcNygsx	100	2	42.9102	1	2	0	1	2	4	-78.6625	67.251.111.28	2023-12-18T21:28:51Z	197	anonymous	2
2023-12-18T21:34:23Z	63d9511eee7ec8c5f1ba144c	1	2023-12-18T21:34:23.686Z	R_6j6T3iY1WtyldBF	EN	R_6j6T3iY1WtyldBF	100	3	32.962	1	1	0	5	2	4	-96.3608	206.248.32.73	2023-12-18T21:33:04Z	79	anonymous	1
2023-12-18T21:35:26Z	614f675d535b2139e3a7d5d6	1	2023-12-18T21:35:26.629Z	R_7fdgdXFXaWXwwBj	EN	R_7fdgdXFXaWXwwBj	100	3	45.6402	1	1	0	5	2	4	-122.8324	75.164.29.175	2023-12-18T21:32:48Z	157	anonymous	1
2023-12-18T21:35:33Z	6510589f98d5a328674c2d41	1	2023-12-18T21:35:34.076Z	R_37fIZv1DyJoNPAS	EN	R_37fIZv1DyJoNPAS	100	3	37.825	1	1	0	5	2	4	-87.5655	74.136.193.154	2023-12-18T21:34:10Z	82	anonymous	2
2023-12-18T21:36:36Z	5cae90b5f84a7c00158d2c1e	1	2023-12-18T21:36:37.326Z	R_5fplVMIInrAKvsq	EN	R_5fplVMIInrAKvsq	100	3	40.4171	1	1	0	1	2	4	-80.5614	71.60.163.46	2023-12-18T21:31:23Z	313	anonymous	2
2023-12-18T21:36:37Z	5def36764194415d17f32c5b	1	2023-12-18T21:36:37.707Z	R_7NlCxd5avkgIe02	EN	R_7NlCxd5avkgIe02	100	3	38.22	1	1	0	5	2	4	-85.6942	23.122.203.212	2023-12-18T21:32:50Z	226	anonymous	1
2023-12-18T21:37:32Z	560ff9897ffc8a000f8112ff	2	2023-12-18T21:37:33.177Z	R_6B4IrBBBNn726FX	EN	R_6B4IrBBBNn726FX	100	3	38.7678	1	1	0	2	2	4	-75.2978	73.129.46.39	2023-12-18T21:35:37Z	114	anonymous	3
2023-12-18T21:37:56Z	65451f430fa4284b0c635f53	1	2023-12-18T21:37:56.746Z	R_7i2mtOerQ7LkkNd	EN	R_7i2mtOerQ7LkkNd	100	3	32.8236	1	1	0	5	2	4	-96.6814	172.59.197.198	2023-12-18T21:35:53Z	122	anonymous	1
2023-12-18T21:38:04Z	60fd25562f38d555f7f1ac67	1	2023-12-18T21:38:05.188Z	R_6FLyQE716C8ZZvP	EN	R_6FLyQE716C8ZZvP	100	1	45.5248	1	1	0	5	3	4	-122.6789	107.122.81.131	2023-12-18T21:36:19Z	105	anonymous	1
2023-12-18T21:38:08Z	5d8793d36c53380015139da9	1	2023-12-18T21:38:09.450Z	R_6zfe9v4AcblbyXn	EN	R_6zfe9v4AcblbyXn	100	2	34.1078	1	1	0	5	1	4	-84.5026	172.127.48.202	2023-12-18T21:36:22Z	106	anonymous	1
2023-12-18T21:38:39Z	5ea98c8747b7860a96ff3c90	1	2023-12-18T21:38:40.160Z	R_3rMsNfx4yYnCQ7D	EN	R_3rMsNfx4yYnCQ7D	100	3	33.8631	1	1	0	5	2	4	-118.3923	47.144.145.254	2023-12-18T21:36:43Z	116	anonymous	1
2023-12-18T21:38:42Z	5ffc9acaaacffc0cb55ba3ab	1	2023-12-18T21:38:43.384Z	R_7XYFE9opgYhFMJj	EN	R_7XYFE9opgYhFMJj	100	2	39.0122	1	1	0	2	2	4	-87.7449	173.17.111.210	2023-12-18T21:37:04Z	98	anonymous	1
2023-12-18T21:38:48Z	654503ae77aaea7a1360240c	1	2023-12-18T21:38:48.852Z	R_51bMPhw6EtK8cki	EN	R_51bMPhw6EtK8cki	100	2	38.6438	1	4	0	5	1	4	-77.3451	174.219.249.11	2023-12-18T21:34:58Z	230	anonymous	1
2023-12-18T21:39:12Z	5fc428fae5097e713227eb40	3	2023-12-18T21:39:13.242Z	R_1q68MKJe0tNKBc5	EN	R_1q68MKJe0tNKBc5	100	3	40.7304	1	1	0	5	2	4	-74.2727	74.105.154.184	2023-12-18T21:36:40Z	152	anonymous	1
2023-12-18T21:39:43Z	614f5734ca61d17940ac78b3	1	2023-12-18T21:39:43.463Z	R_3qaeylk3safbFRL	EN	R_3qaeylk3safbFRL	100	3	34.7981	1	3	0	5	2	4	-82.3959	12.42.17.114	2023-12-18T21:36:55Z	168	anonymous	1
