userLanguage	distributionChannel	_recordId	duration	locationLongitude	responseId	progress	PROLIFIC_PID	startDate	QID6	QID3	recordedDate	QID5	endDate	status	QID8	finished	locationLatitude	QID1	ipAddress	QID2
EN	anonymous	R_6FQGWiFeCO9ZEjO	404	-74.2098	R_6FQGWiFeCO9ZEjO	100	61702a401deb7d2565f96139	2023-12-18T21:11:29Z	3	1	2023-12-18T21:18:14.747Z	3	2023-12-18T21:18:14Z	0	5	1	40.7718	1	172.59.209.3	1
EN	anonymous	R_6y7mT5aJrpWnKMK	342	-96.8022	R_6y7mT5aJrpWnKMK	100	644f3fab7952c36c2bfa3393	2023-12-18T21:14:14Z	1	3	2023-12-18T21:19:57.459Z	2	2023-12-18T21:19:56Z	0	5	1	32.7797	1	172.58.109.128	1
EN	anonymous	R_3iqhvMMK73ltYS4	101	-76.4944	R_3iqhvMMK73ltYS4	100	6578eb199d938bc19925a731	2023-12-18T21:20:51Z	1	2	2023-12-18T21:22:33.503Z	3	2023-12-18T21:22:33Z	0	5	1	38.9512	1	71.179.38.119	1
EN	anonymous	R_75Tbx0g0Gy6EzU5	200	-80.6865	R_75Tbx0g0Gy6EzU5	100	5f9d53c5a1f16e2576a935ed	2023-12-18T21:19:18Z	3	1	2023-12-18T21:22:39.080Z	2	2023-12-18T21:22:38Z	0	4	1	35.1936	3	174.216.4.142	3
EN	anonymous	R_3sCJ4Sxzu4j6LSN	131	-122.8475	R_3sCJ4Sxzu4j6LSN	100	656ea4a8b59440aff1d9c6b9	2023-12-18T21:21:18Z	2	1	2023-12-18T21:23:30.695Z	1	2023-12-18T21:23:30Z	0	5	1	42.3394	1	75.142.8.16	1
EN	anonymous	R_5pEDg3phXwy4K1L	95	-85.0803	R_5pEDg3phXwy4K1L	100	654ac658b81dd20951dec032	2023-12-18T21:22:20Z	1	1	2023-12-18T21:23:56.155Z	3	2023-12-18T21:23:55Z	0	5	1	33.5815	1	35.129.148.198	1
EN	anonymous	R_3DvB5p1dAD7SZ2O	109	-88.5672	R_3DvB5p1dAD7SZ2O	100	6580ab64459a9ec6fcc653b3	2023-12-18T21:25:38Z	1	2	2023-12-18T21:27:29.216Z	4	2023-12-18T21:27:28Z	0	5	1	39.1235	1	173.26.69.188	1
EN	anonymous	R_73Ttz6NGFam1omv	296	-84.1867	R_73Ttz6NGFam1omv	100	61fa8f62f42b633229bbf165	2023-12-18T21:25:57Z	1	2	2023-12-18T21:30:54.562Z	3	2023-12-18T21:30:54Z	0	5	1	39.6073	1	74.135.94.80	1
EN	anonymous	R_3wR0O0MTed8YrSL	75	-84.3385	R_3wR0O0MTed8YrSL	100	655e4106d5167a59c54d7dde	2023-12-18T21:30:27Z	1	2	2023-12-18T21:31:43.516Z	3	2023-12-18T21:31:43Z	0	5	1	33.8654	1	99.108.234.19	1
EN	anonymous	R_1qvSOtK4ZcNygsx	197	-78.6625	R_1qvSOtK4ZcNygsx	100	5d7d4ce5ea2fe40015dff554	2023-12-18T21:28:51Z	2	2	2023-12-18T21:32:09.325Z	2	2023-12-18T21:32:08Z	0	1	1	42.9102	2	67.251.111.28	1
